| designOverallArea | saveArea | saveRatio | patternCnt | patternSize | patternCoverage | patternName | patternCode |
| 12499.633759999471 | 1259.5200000000011 | 10.564287554753783 | 205 | 8 | 1640 | COMPLEX27 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1]+c1i0NAND2X1+c1i0NAND2X1+c2i0NAND2X1+c2i0NAND2X1 |
| 12499.633759999471 | 1049.6000000000001 | 8.803572962294812 | 205 | 7 | 1435 | COMPLEX26 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1]+c1i0NAND2X1+c1i0NAND2X1+c2i0NAND2X1 |
| 12499.633759999471 | 944.6400000000001 | 7.923215666065331 | 205 | 6 | 1230 | COMPLEX25 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1]+c1i0NAND2X1+c1i0NAND2X1 |
| 12499.633759999471 | 734.7200000000003 | 6.16250107360637 | 205 | 5 | 1025 | COMPLEX24 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1]+c1i0NAND2X1 |
| 12499.633759999471 | 524.8000000000001 | 4.401786481147406 | 205 | 4 | 820 | COMPLEX4 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1] |
| 12499.633759999471 | 344.06400000000014 | 2.885854161298593 | 96 | 5 | 480 | COMPLEX7 | [AOI22X1,AOI21X1,NAND2X1,NAND2X1,AOI21X1] |
| 12499.633759999471 | 64.51199999999999 | 0.5410976552434857 | 42 | 3 | 126 | COMPLEX16 | [AOI21X1,NAND2X1,AOI21X1] |
| 12499.633759999471 | 49.15199999999999 | 0.41226488018551294 | 32 | 3 | 96 | COMPLEX20 | [AND2X1,AOI21X1,NAND2X1] |
