| designOverallArea | saveArea | saveRatio | patternCnt | patternSize | patternCoverage | patternName | patternCode |
| 11628.939939999635 | 585.7280000000001 | 5.2889505316689025 | 143 | 6 | 858 | COMPLEX23 | [AOI22X1,AOI21X1,NAND2X1,NAND2X1,AOI21X1]+c0o0_NAND3X1 |
| 11628.939939999635 | 513.0240000000001 | 4.632454923716994 | 167 | 5 | 835 | COMPLEX4 | [AOI22X1,AOI21X1,NAND2X1,NAND2X1,AOI21X1] |
| 11628.939939999635 | 282.62400000000025 | 2.5520110957003816 | 92 | 4 | 368 | COMPLEX10 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1] |
