| designOverallArea | saveArea | saveRatio | patternCnt | patternSize | patternCoverage | patternName | patternCode |
| 11127.475519999709 | 450.56 | 4.2501811156725005 | 110 | 6 | 660 | COMPLEX24 | [AOI22X1,NAND2X1,AOI21X1,NAND2X1,AOI21X1]+c0o0_NAND3X1 |
| 11127.475519999709 | 384.0000000000001 | 3.622313450857245 | 125 | 5 | 625 | COMPLEX5 | [AOI22X1,NAND2X1,AOI21X1,NAND2X1,AOI21X1] |
| 11127.475519999709 | 302.08000000000004 | 2.849553248007699 | 118 | 4 | 472 | COMPLEX6 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1] |
| 11127.475519999709 | 179.20000000000007 | 1.6904129437333815 | 50 | 5 | 250 | COMPLEX16 | [AOI22X1,AOI21X1,NAND2X1,NAND2X1,AOI21X1] |
| 11127.475519999709 | 69.11999999999998 | 0.6520164211543038 | 45 | 3 | 135 | COMPLEX17 | [AOI21X1,NAND2X1,AOI21X1] |
