| designOverallArea | saveArea | saveRatio | patternCnt | patternSize | patternCoverage | patternName | patternCode |
| 13206.861659999422 | 417.79200000000003 | 3.3696729435083874 | 204 | 4 | 816 | COMPLEX20 | [OAI21X1,INVX1,AOI21X1]+c0o0_NAND3X1 |
| 13206.861659999422 | 400.384 | 3.229269904195538 | 391 | 3 | 1173 | COMPLEX1 | [OAI21X1,INVX1,AOI21X1] |
| 13206.861659999422 | 267.26400000000007 | 2.155599603567866 | 87 | 5 | 435 | COMPLEX9 | [AOI22X1,AOI21X1,NAND2X1,NAND2X1,AOI21X1] |
| 13206.861659999422 | 196.60800000000017 | 1.5857284440039483 | 64 | 4 | 256 | COMPLEX15 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1] |
| 13206.861659999422 | 143.36000000000013 | 1.156260323752879 | 56 | 4 | 224 | COMPLEX18 | [AOI21X1,NAND2X1,AOI21X1,NAND3X1] |
| 13206.861659999422 | 132.09600000000003 | 1.065411298315152 | 43 | 5 | 215 | COMPLEX19 | [AOI22X1,NAND2X1,AOI21X1,NAND2X1,AOI21X1] |
