| designOverallArea | saveArea | saveRatio | patternCnt | patternSize | patternCoverage | patternName | patternCode |
| 77947.25305998656 | 512.0000000000002 | 0.7159938710924958 | 250 | 3 | 750 | COMPLEX0 | [NAND2X1,NAND2X1,NAND2X1] |
| 77947.25305998656 | 422.4000000000004 | 0.5906949436513093 | 165 | 4 | 660 | COMPLEX30 | [NAND2X1,NAND2X1,NAND2X1]+c1o0_NAND3X1 |
| 77947.25305998656 | 266.24 | 0.37231681296809765 | 130 | 4 | 520 | COMPLEX13 | [NOR3X1,NAND3X1,NAND3X1,NAND3X1] |
| 77947.25305998656 | 227.3279999999994 | 0.3179012787650672 | 444 | 2 | 888 | COMPLEX4 | [INVX1,MUX2X1] |
| 77947.25305998656 | 119.8080000000001 | 0.16754256583564409 | 234 | 2 | 468 | COMPLEX9 | [INVX1,NAND3X1] |
| 77947.25305998656 | 96.25600000000009 | 0.13460684776538928 | 188 | 2 | 376 | COMPLEX10 | [INVX1,OAI21X1] |
