benchmark | originalAstranTotalArea | originalGSCLTotalArea | reduceAreaComparedToAstranTotal | reduceAreaComparedToTotal | AstranReduceAreaPercentage | GSCLReduceAreaPercentage |
tc_001_arthmetic_adder |2861.567999999939 |4658.700492021017 |155.64800000000005 |226.0210399999999 |5.4392556808016925 |4.851589845432378 |
tc_002_arthmetic_bar |5410.815999999966 |7589.331178449977 |897.5360000000005 |1163.6646599999992 |16.587812263436906 |15.33290131420596 |
tc_003_arthmetic_divisor |101710.33599997834 |259281.10170876686 |1625.0880000000009 |3736.4217999999987 |1.597760919795159 |1.441069856374211 |
tc_004_arthmetic_hypotenuse |515782.655999744 |1038147.0902442674 |10322.432000000006 |18376.83363999999 |2.0013142900262877 |1.7701570242494322 |
tc_005_arthmetic_log2 |71508.9919999968 |124044.95792926585 |1306.1119999999999 |2078.5415999999987 |1.8265003651569558 |1.6756357007152562 |
tc_006_arthmetic_max |4970.495999999911 |14288.425755993263 |251.3919999999999 |624.8681399999995 |5.057684384013274 |4.3732469249658195 |
tc_007_arthmetic_multiplier |53381.12000000221 |80711.02947253814 |3758.0799999999995 |5090.719999999995 |7.04009207749827 |6.307341181581766 |
tc_009_arthmetic_sqrt |75016.7039999912 |292801.26131329796 |624.6400000000001 |2198.816719999998 |0.832667881542854 |0.7509587595824115 |
tc_010_arthmetic_square |32233.47200000151 |63862.568240959095 |740.3520000000003 |1286.3324599999994 |2.2968422390239733 |2.014219746294189 |
tc_l4_0409 |10348.544000000113 |12904.243928431819 |805.3760000000002 |955.6296599999994 |7.782505442311416 |7.40554553447698 |
tc_l4_0412 |10600.960000000105 |13123.518770831211 |735.744 |867.7215399999991 |6.940352571842482 |6.611957929519842 |
tc_l4_0413 |10337.792000000098 |12702.265422119088 |1310.7200000000016 |1535.1256999999996 |12.678916348868203 |12.085448138462047 |
tc_l4_0427 |12398.592000000135 |19348.84632352115 |917.5040000000001 |1344.198519999999 |7.40006607201842 |6.947176578512297 |
tc_l4_0428 |11922.432000000177 |14737.212595675293 |1532.928000000002 |1807.3398199999997 |12.857510950785706 |12.263783319040755 |
tc_l4_0429 |11074.56000000016 |13598.689311869393 |1009.6640000000002 |1180.6843199999994 |9.116967175219473 |8.682339105794986 |
tc_l4_0430 |12767.744000000244 |15678.35359837535 |1013.7600000000007 |1189.7784999999994 |7.940008822231878 |7.5886698978602505 |
tc_l4_0431 |12461.568000000192 |15471.188485476916 |1447.4240000000013 |1718.2050799999993 |11.615103332100576 |11.105837677647774 |
tc_l4_0432 |12022.784000000216 |14876.300394554804 |1342.4640000000015 |1584.9833799999994 |11.165999488970087 |10.654419028672972 |
