| designOverallArea | saveArea | saveRatio | patternCnt | patternSize | patternCoverage | patternName | patternCode |
| 13033.001579999385 | 1679.872 | 13.480422367393688 | 193 | 6 | 1158 | COMPLEX22 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1]+c1i0NAND2X1+c1i0NAND2X1 |
| 13033.001579999385 | 988.1600000000002 | 7.929660216113935 | 193 | 7 | 1351 | COMPLEX23 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1]+c1i0NAND2X1+c1i0NAND2X1+c2i0NAND2X1 |
| 13033.001579999385 | 691.7120000000002 | 5.550762151279756 | 193 | 5 | 965 | COMPLEX21 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1]+c1i0NAND2X1 |
| 13033.001579999385 | 494.0800000000001 | 3.9648301080569675 | 193 | 4 | 772 | COMPLEX4 | [NAND3X1,NAND3X1,NAND3X1,NAND3X1] |
| 13033.001579999385 | 329.7280000000001 | 2.645959160195531 | 92 | 5 | 460 | COMPLEX8 | [AOI22X1,AOI21X1,NAND2X1,NAND2X1,AOI21X1] |
| 13033.001579999385 | 70.65599999999998 | 0.5669912486133277 | 46 | 3 | 138 | COMPLEX18 | [AOI21X1,NAND2X1,AOI21X1] |
| 13033.001579999385 | 59.90399999999998 | 0.48070997165043 | 39 | 3 | 117 | COMPLEX22 | [AND2X1,AOI21X1,NAND2X1] |
